hpo_id	hpo_name	gene_id
HP:0001250	Seizure	2253
HP:0001250	Seizure	2260
HP:0001250	Seizure	3730
HP:0001250	Seizure	6663
HP:0001250	Seizure	6870
HP:0001250	Seizure	8820
HP:0001250	Seizure	8822
HP:0001250	Seizure	9394
HP:0001250	Seizure	10371
HP:0001250	Seizure	23767
HP:0001250	Seizure	54756
HP:0001250	Seizure	55636
HP:0001250	Seizure	55717
HP:0001250	Seizure	60675
HP:0001250	Seizure	79625
HP:0001250	Seizure	81848
HP:0001250	Seizure	128674
HP:0001250	Seizure	285025
HP:0001250	Seizure	389549
HP:0001263	Global developmental delay	79633
HP:0001263	Global developmental delay	8642
HP:0000006	Autosomal dominant inheritance	2703
HP:0001250	Seizure	5873
HP:0001873	Thrombocytopenia	5551
HP:0001873	Thrombocytopenia	6813
HP:0001873	Thrombocytopenia	8676
HP:0001873	Thrombocytopenia	201294
HP:0001263	Global developmental delay	7471
HP:0002240	Hepatomegaly	55240
HP:0001419	X-linked recessive inheritance	1259
HP:0001419	X-linked recessive inheritance	1406
HP:0001419	X-linked recessive inheritance	5148
HP:0001419	X-linked recessive inheritance	5949
HP:0001419	X-linked recessive inheritance	6094
HP:0001419	X-linked recessive inheritance	7401
HP:0001419	X-linked recessive inheritance	9227
HP:0001419	X-linked recessive inheritance	23746
HP:0001419	X-linked recessive inheritance	84100
HP:0001419	X-linked recessive inheritance	157657
HP:0000007	Autosomal recessive inheritance	54507
HP:0011463	Childhood onset	4070
HP:0000007	Autosomal recessive inheritance	3082
HP:0001250	Seizure	51506
HP:0003593	Infantile onset	8139
HP:0003593	Infantile onset	11280
HP:0001250	Seizure	6559
HP:0001508	Failure to thrive	1188
HP:0001250	Seizure	4644
HP:0001263	Global developmental delay	129285
HP:0003621	Juvenile onset	91624
HP:0011463	Childhood onset	10461
HP:0003593	Infantile onset	9690
HP:0001250	Seizure	54413
HP:0001250	Seizure	80204
HP:0000006	Autosomal dominant inheritance	2629
HP:0000006	Autosomal dominant inheritance	6620
HP:0000006	Autosomal dominant inheritance	6622
HP:0000083	Renal insufficiency	6299
HP:0000083	Renal insufficiency	51339
HP:0001508	Failure to thrive	6299
HP:0000007	Autosomal recessive inheritance	83999
HP:0001419	X-linked recessive inheritance	23676
HP:0000007	Autosomal recessive inheritance	6911
HP:0000006	Autosomal dominant inheritance	2263
HP:0000006	Autosomal dominant inheritance	5447
HP:0000006	Autosomal dominant inheritance	1056
HP:0001250	Seizure	54888
HP:0001419	X-linked recessive inheritance	170302
HP:0000007	Autosomal recessive inheritance	84667
HP:0010978	Abnormality of immune system physiology	3955
HP:0010978	Abnormality of immune system physiology	10683
HP:0010978	Abnormality of immune system physiology	84667
HP:0010978	Abnormality of immune system physiology	134701
HP:0010978	Abnormality of immune system physiology	145873
HP:0000007	Autosomal recessive inheritance	6295
HP:0001508	Failure to thrive	5826
HP:0000007	Autosomal recessive inheritance	113278
HP:0003593	Infantile onset	113278
HP:0000006	Autosomal dominant inheritance	735
HP:0001250	Seizure	8915
HP:0000007	Autosomal recessive inheritance	22926
HP:0003593	Infantile onset	9863
HP:0001250	Seizure	132
HP:0001250	Seizure	7020
HP:0003593	Infantile onset	6231
HP:0001873	Thrombocytopenia	2623
HP:0001873	Thrombocytopenia	6125
HP:0001873	Thrombocytopenia	6132
HP:0001873	Thrombocytopenia	6133
HP:0001873	Thrombocytopenia	6135
HP:0001873	Thrombocytopenia	6138
HP:0001873	Thrombocytopenia	6141
HP:0001873	Thrombocytopenia	6154
HP:0001873	Thrombocytopenia	6155
HP:0001873	Thrombocytopenia	6160
HP:0001873	Thrombocytopenia	6165
HP:0001873	Thrombocytopenia	6201
HP:0001873	Thrombocytopenia	6204
HP:0001873	Thrombocytopenia	6210
HP:0001873	Thrombocytopenia	6218
HP:0001873	Thrombocytopenia	6223
HP:0001873	Thrombocytopenia	6224
HP:0001873	Thrombocytopenia	6229
HP:0001873	Thrombocytopenia	6231
HP:0001873	Thrombocytopenia	6232
HP:0001873	Thrombocytopenia	6234
HP:0001873	Thrombocytopenia	6235
HP:0001873	Thrombocytopenia	11224
HP:0001873	Thrombocytopenia	51816
HP:0001873	Thrombocytopenia	55027
HP:0001873	Thrombocytopenia	90121
HP:0001250	Seizure	6899
HP:0000778	Hypoplasia of the thymus	421
HP:0000778	Hypoplasia of the thymus	1312
HP:0000778	Hypoplasia of the thymus	2812
HP:0000778	Hypoplasia of the thymus	6239
HP:0000778	Hypoplasia of the thymus	7290
HP:0000778	Hypoplasia of the thymus	7353
HP:0000778	Hypoplasia of the thymus	9632
HP:0000778	Hypoplasia of the thymus	221037
HP:0002721	Immunodeficiency	6899
HP:0001508	Failure to thrive	1585
HP:0001250	Seizure	81570
HP:0000006	Autosomal dominant inheritance	5566
HP:0001263	Global developmental delay	123263
HP:0001263	Global developmental delay	4535
HP:0001263	Global developmental delay	4536
HP:0001263	Global developmental delay	4537
HP:0001263	Global developmental delay	4694
HP:0001263	Global developmental delay	4700
HP:0001263	Global developmental delay	4709
HP:0001263	Global developmental delay	4715
HP:0001263	Global developmental delay	4716
HP:0001263	Global developmental delay	4719
HP:0001263	Global developmental delay	4720
HP:0001263	Global developmental delay	4722
HP:0001263	Global developmental delay	4723
HP:0001263	Global developmental delay	4724
HP:0001263	Global developmental delay	4726
HP:0001263	Global developmental delay	4728
HP:0001263	Global developmental delay	4729
HP:0001263	Global developmental delay	25915
HP:0001263	Global developmental delay	29078
HP:0001263	Global developmental delay	51103
HP:0001263	Global developmental delay	51300
HP:0001263	Global developmental delay	54539
HP:0001263	Global developmental delay	55572
HP:0001263	Global developmental delay	55863
HP:0001263	Global developmental delay	79133
HP:0001263	Global developmental delay	80224
HP:0001263	Global developmental delay	91942
HP:0001263	Global developmental delay	126328
HP:0001263	Global developmental delay	284184
HP:0001263	Global developmental delay	374291
HP:0001903	Anemia	54977
HP:0000007	Autosomal recessive inheritance	57211
HP:0020087	BCGosis	30009
HP:0000007	Autosomal recessive inheritance	5269
HP:0000007	Autosomal recessive inheritance	8195
HP:0000100	Nephrotic syndrome	582
HP:0000100	Nephrotic syndrome	583
HP:0000100	Nephrotic syndrome	585
HP:0000100	Nephrotic syndrome	4867
HP:0000100	Nephrotic syndrome	8195
HP:0000100	Nephrotic syndrome	10806
HP:0000100	Nephrotic syndrome	11020
HP:0000100	Nephrotic syndrome	22954
HP:0000100	Nephrotic syndrome	26160
HP:0000100	Nephrotic syndrome	27241
HP:0000100	Nephrotic syndrome	49855
HP:0000100	Nephrotic syndrome	51057
HP:0000100	Nephrotic syndrome	54585
HP:0000100	Nephrotic syndrome	54903
HP:0000100	Nephrotic syndrome	55212
HP:0000100	Nephrotic syndrome	79738
HP:0000100	Nephrotic syndrome	80173
HP:0000100	Nephrotic syndrome	80184
HP:0000100	Nephrotic syndrome	84100
HP:0000100	Nephrotic syndrome	84984
HP:0000100	Nephrotic syndrome	92482
HP:0000100	Nephrotic syndrome	123016
HP:0000100	Nephrotic syndrome	129880
HP:0000100	Nephrotic syndrome	132320
HP:0000100	Nephrotic syndrome	157657
HP:0000100	Nephrotic syndrome	166379
HP:0001250	Seizure	55624
HP:0001263	Global developmental delay	1282
HP:0001263	Global developmental delay	1605
HP:0001263	Global developmental delay	2218
HP:0001263	Global developmental delay	9215
HP:0001263	Global developmental delay	10329
HP:0001263	Global developmental delay	10585
HP:0001263	Global developmental delay	11041
HP:0001263	Global developmental delay	29954
HP:0001263	Global developmental delay	79147
HP:0001263	Global developmental delay	84197
HP:0001263	Global developmental delay	84892
HP:0001263	Global developmental delay	148789
HP:0001263	Global developmental delay	729920
HP:0001250	Seizure	29925
HP:0001419	X-linked recessive inheritance	4935
HP:0000100	Nephrotic syndrome	27235
HP:0001263	Global developmental delay	6659
HP:0001250	Seizure	5977
HP:0001250	Seizure	6597
HP:0001250	Seizure	6598
HP:0001250	Seizure	6601
HP:0001250	Seizure	6602
HP:0001250	Seizure	6605
HP:0001250	Seizure	6659
HP:0001250	Seizure	6664
HP:0001250	Seizure	8289
HP:0001250	Seizure	57492
HP:0001250	Seizure	196528
HP:0001250	Seizure	10274
HP:0001508	Failure to thrive	865
HP:0001250	Seizure	2560
HP:0001250	Seizure	16
HP:0001250	Seizure	477
HP:0001250	Seizure	478
HP:0001250	Seizure	523
HP:0001250	Seizure	773
HP:0001250	Seizure	774
HP:0001250	Seizure	781
HP:0001250	Seizure	1213
HP:0001250	Seizure	1759
HP:0001250	Seizure	1917
HP:0001250	Seizure	2257
HP:0001250	Seizure	2258
HP:0001250	Seizure	2290
HP:0001250	Seizure	2555
HP:0001250	Seizure	2558
HP:0001250	Seizure	2561
HP:0001250	Seizure	2566
HP:0001250	Seizure	2906
HP:0001250	Seizure	3737
HP:0001250	Seizure	3745
HP:0001250	Seizure	4915
HP:0001250	Seizure	5530
HP:0001250	Seizure	6328
HP:0001250	Seizure	6334
HP:0001250	Seizure	6506
HP:0001250	Seizure	7532
HP:0001250	Seizure	8120
HP:0001250	Seizure	8831
HP:0001250	Seizure	8867
HP:0001250	Seizure	9568
HP:0001250	Seizure	10659
HP:0001250	Seizure	10991
HP:0001250	Seizure	22866
HP:0001250	Seizure	22906
HP:0001250	Seizure	23097
HP:0001250	Seizure	23219
HP:0001250	Seizure	23241
HP:0001250	Seizure	23334
HP:0001250	Seizure	25973
HP:0001250	Seizure	25977
HP:0001250	Seizure	26999
HP:0001250	Seizure	51343
HP:0001250	Seizure	51412
HP:0001250	Seizure	51741
HP:0001250	Seizure	55152
HP:0001250	Seizure	64801
HP:0001250	Seizure	79876
HP:0001250	Seizure	79947
HP:0001250	Seizure	116150
HP:0001250	Seizure	284111
HP:0001250	Seizure	348980
HP:0002384	Focal impaired awareness seizure	2554
HP:0003593	Infantile onset	2677
HP:0003593	Infantile onset	2982
HP:0001250	Seizure	59
HP:0001250	Seizure	1729
HP:0001250	Seizure	57674
HP:0001824	Weight loss	6622
HP:0000006	Autosomal dominant inheritance	126
HP:0000006	Autosomal dominant inheritance	4137
HP:0000006	Autosomal dominant inheritance	4287
HP:0000006	Autosomal dominant inheritance	4576
HP:0000006	Autosomal dominant inheritance	4929
HP:0000006	Autosomal dominant inheritance	6311
HP:0000006	Autosomal dominant inheritance	6315
HP:0000006	Autosomal dominant inheritance	6908
HP:0000006	Autosomal dominant inheritance	9627
HP:0001824	Weight loss	1981
HP:0001824	Weight loss	2629
HP:0001824	Weight loss	23317
HP:0001824	Weight loss	26058
HP:0001824	Weight loss	55737
HP:0001824	Weight loss	120892
HP:0000007	Autosomal recessive inheritance	22954
HP:0000006	Autosomal dominant inheritance	4041
HP:0003829	Typified by incomplete penetrance	60675
HP:0001250	Seizure	5048
HP:0001250	Seizure	55904
HP:0001508	Failure to thrive	6868
HP:0000007	Autosomal recessive inheritance	145173
HP:0011463	Childhood onset	6794
HP:0002719	Recurrent infections	83475
HP:0001419	X-linked recessive inheritance	367
HP:0000006	Autosomal dominant inheritance	7148
HP:0001903	Anemia	55027
HP:0002240	Hepatomegaly	169792
HP:0000007	Autosomal recessive inheritance	84660
HP:0000006	Autosomal dominant inheritance	1804
HP:0000007	Autosomal recessive inheritance	5265
HP:0001250	Seizure	8738
HP:0000006	Autosomal dominant inheritance	1834
HP:0001250	Seizure	2629
HP:0001250	Seizure	55252
HP:0011463	Childhood onset	5631
HP:0001250	Seizure	291
HP:0000083	Renal insufficiency	3265
HP:0003593	Infantile onset	8328
HP:0000007	Autosomal recessive inheritance	3655
HP:0001263	Global developmental delay	9731
HP:0001250	Seizure	6513
HP:0003593	Infantile onset	3572
HP:0003593	Infantile onset	6223
HP:0001522	Death in infancy	199857
HP:0002384	Focal impaired awareness seizure	6323
HP:0000007	Autosomal recessive inheritance	2317
HP:0001250	Seizure	2744
HP:0003621	Juvenile onset	6530
HP:0000006	Autosomal dominant inheritance	2196
HP:0000007	Autosomal recessive inheritance	10999
HP:0001250	Seizure	36
HP:0002240	Hepatomegaly	27232
HP:0000006	Autosomal dominant inheritance	1763
HP:0001894	Thrombocytosis	3459
HP:0000006	Autosomal dominant inheritance	2317
HP:0000007	Autosomal recessive inheritance	3295
HP:0001250	Seizure	10682
HP:0003593	Infantile onset	16
HP:0000006	Autosomal dominant inheritance	4851
HP:0001508	Failure to thrive	6439
HP:0001250	Seizure	476
HP:0003621	Juvenile onset	8912
HP:0002240	Hepatomegaly	26160
HP:0000083	Renal insufficiency	9742
HP:0000083	Renal insufficiency	9851
HP:0000083	Renal insufficiency	26160
HP:0000083	Renal insufficiency	51626
HP:0000083	Renal insufficiency	55112
HP:0000083	Renal insufficiency	57560
HP:0000083	Renal insufficiency	57728
HP:0000083	Renal insufficiency	79659
HP:0000083	Renal insufficiency	79809
HP:0000083	Renal insufficiency	89891
HP:0000083	Renal insufficiency	153241
HP:0000006	Autosomal dominant inheritance	7414
HP:0003621	Juvenile onset	6101
HP:0000100	Nephrotic syndrome	1285
HP:0003621	Juvenile onset	3426
HP:0001250	Seizure	2799
HP:0003621	Juvenile onset	1770
HP:0011274	Recurrent mycobacterial infections	1767
HP:0011274	Recurrent mycobacterial infections	1770
HP:0011274	Recurrent mycobacterial infections	2302
HP:0011274	Recurrent mycobacterial infections	2622
HP:0011274	Recurrent mycobacterial infections	6103
HP:0011274	Recurrent mycobacterial infections	6674
HP:0011274	Recurrent mycobacterial infections	8382
HP:0011274	Recurrent mycobacterial infections	8481
HP:0011274	Recurrent mycobacterial infections	8701
HP:0011274	Recurrent mycobacterial infections	10309
HP:0011274	Recurrent mycobacterial infections	23639
HP:0011274	Recurrent mycobacterial infections	25981
HP:0011274	Recurrent mycobacterial infections	27019
HP:0011274	Recurrent mycobacterial infections	27148
HP:0011274	Recurrent mycobacterial infections	51314
HP:0011274	Recurrent mycobacterial infections	51364
HP:0011274	Recurrent mycobacterial infections	54768
HP:0011274	Recurrent mycobacterial infections	54919
HP:0011274	Recurrent mycobacterial infections	54970
HP:0011274	Recurrent mycobacterial infections	55036
HP:0011274	Recurrent mycobacterial infections	55130
HP:0011274	Recurrent mycobacterial infections	55172
HP:0011274	Recurrent mycobacterial infections	56683
HP:0011274	Recurrent mycobacterial infections	64446
HP:0011274	Recurrent mycobacterial infections	79925
HP:0011274	Recurrent mycobacterial infections	83538
HP:0011274	Recurrent mycobacterial infections	83544
HP:0011274	Recurrent mycobacterial infections	83861
HP:0011274	Recurrent mycobacterial infections	85016
HP:0011274	Recurrent mycobacterial infections	85452
HP:0011274	Recurrent mycobacterial infections	85478
HP:0011274	Recurrent mycobacterial infections	89765
HP:0011274	Recurrent mycobacterial infections	92749
HP:0011274	Recurrent mycobacterial infections	93233
HP:0011274	Recurrent mycobacterial infections	115399
HP:0011274	Recurrent mycobacterial infections	115948
HP:0011274	Recurrent mycobacterial infections	123872
HP:0011274	Recurrent mycobacterial infections	139212
HP:0011274	Recurrent mycobacterial infections	152110
HP:0011274	Recurrent mycobacterial infections	161582
HP:0011274	Recurrent mycobacterial infections	200373
HP:0011274	Recurrent mycobacterial infections	221421
HP:0011274	Recurrent mycobacterial infections	246176
HP:0011274	Recurrent mycobacterial infections	339829
HP:0011274	Recurrent mycobacterial infections	345643
HP:0011274	Recurrent mycobacterial infections	345895
HP:0011274	Recurrent mycobacterial infections	352909
HP:0011274	Recurrent mycobacterial infections	374407
HP:0011274	Recurrent mycobacterial infections	388389
HP:0001263	Global developmental delay	2186
HP:0003621	Juvenile onset	3708
HP:0000007	Autosomal recessive inheritance	161497
HP:0000006	Autosomal dominant inheritance	64327
HP:0000006	Autosomal dominant inheritance	4000
HP:0003621	Juvenile onset	60482
HP:0001263	Global developmental delay	23325
HP:0001250	Seizure	10978
HP:0000007	Autosomal recessive inheritance	1308
HP:0003593	Infantile onset	3839
HP:0001263	Global developmental delay	22808
HP:0002240	Hepatomegaly	867
HP:0002240	Hepatomegaly	3845
HP:0002240	Hepatomegaly	4893
HP:0002240	Hepatomegaly	5781
HP:0002240	Hepatomegaly	5894
HP:0002240	Hepatomegaly	5922
HP:0002240	Hepatomegaly	6016
HP:0002240	Hepatomegaly	6237
HP:0002240	Hepatomegaly	6654
HP:0002240	Hepatomegaly	6655
HP:0002240	Hepatomegaly	8216
HP:0002240	Hepatomegaly	22800
HP:0002240	Hepatomegaly	22808
HP:0002240	Hepatomegaly	200734
HP:0003593	Infantile onset	3081
HP:0000006	Autosomal dominant inheritance	7123
HP:0000006	Autosomal dominant inheritance	10060
HP:0000083	Renal insufficiency	1184
HP:0000006	Autosomal dominant inheritance	4040
HP:0000006	Autosomal dominant inheritance	6708
HP:0001744	Splenomegaly	2035
HP:0001744	Splenomegaly	2995
HP:0001744	Splenomegaly	6708
HP:0001744	Splenomegaly	6710
HP:0003593	Infantile onset	59335
HP:0003496	Increased circulating IgM level	958
HP:0001250	Seizure	55870
HP:0001419	X-linked recessive inheritance	3897
HP:0003829	Typified by incomplete penetrance	4508
HP:0003829	Typified by incomplete penetrance	4514
HP:0003829	Typified by incomplete penetrance	4519
HP:0003829	Typified by incomplete penetrance	4535
HP:0003829	Typified by incomplete penetrance	4536
HP:0003829	Typified by incomplete penetrance	4538
HP:0003829	Typified by incomplete penetrance	4539
HP:0003829	Typified by incomplete penetrance	4540
HP:0003829	Typified by incomplete penetrance	4541
HP:0000007	Autosomal recessive inheritance	84265
HP:0000007	Autosomal recessive inheritance	10841
HP:0011463	Childhood onset	84062
HP:0000007	Autosomal recessive inheritance	1785
HP:0001250	Seizure	7157
HP:0000007	Autosomal recessive inheritance	1417
HP:0000006	Autosomal dominant inheritance	80781
HP:0001250	Seizure	283989
HP:0000007	Autosomal recessive inheritance	3549
HP:0001263	Global developmental delay	3782
HP:0001250	Seizure	526
HP:0001250	Seizure	3756
HP:0001250	Seizure	3778
HP:0001250	Seizure	3782
HP:0000083	Renal insufficiency	4615
HP:0000006	Autosomal dominant inheritance	2690
HP:0002202	Pleural effusion	81
HP:0000969	Edema	396
HP:0000969	Edema	1285
HP:0000969	Edema	2013
HP:0000969	Edema	4643
HP:0000969	Edema	4868
HP:0000969	Edema	5076
HP:0000969	Edema	5800
HP:0000969	Edema	7225
HP:0000969	Edema	7490
HP:0000969	Edema	7827
HP:0000969	Edema	8542
HP:0000969	Edema	9688
HP:0000969	Edema	9863
HP:0000969	Edema	23165
HP:0000969	Edema	23279
HP:0000969	Edema	23500
HP:0000969	Edema	23607
HP:0000969	Edema	26130
HP:0000969	Edema	51196
HP:0000969	Edema	51479
HP:0000969	Edema	54443
HP:0000969	Edema	54885
HP:0000969	Edema	55746
HP:0000969	Edema	57122
HP:0000969	Edema	64423
HP:0000969	Edema	79023
HP:0000969	Edema	79902
HP:0000969	Edema	79934
HP:0000969	Edema	83478
HP:0000969	Edema	286204
HP:0001945	Fever	81
HP:0000006	Autosomal dominant inheritance	1909
HP:0000006	Autosomal dominant inheritance	2099
HP:0000006	Autosomal dominant inheritance	7124
HP:0011463	Childhood onset	28982
HP:0002783	Recurrent lower respiratory tract infections	7174
HP:0011463	Childhood onset	23312
HP:0000729	Autistic behavior	79853
HP:0000007	Autosomal recessive inheritance	23400
HP:0001263	Global developmental delay	114803
HP:0003593	Infantile onset	64065
HP:0001250	Seizure	51360
HP:0001250	Seizure	64065
HP:0001250	Seizure	162514
HP:0001263	Global developmental delay	4763
HP:0000007	Autosomal recessive inheritance	5818
HP:0000007	Autosomal recessive inheritance	118491
HP:0003593	Infantile onset	5159
HP:0011463	Childhood onset	6010
HP:0000006	Autosomal dominant inheritance	6710
HP:0001744	Splenomegaly	286
HP:0001744	Splenomegaly	2038
HP:0001744	Splenomegaly	6521
HP:0001903	Anemia	6708
HP:0001903	Anemia	6710
HP:0000006	Autosomal dominant inheritance	9496
HP:0003819	Death in childhood	28976
HP:0000006	Autosomal dominant inheritance	659
HP:0001263	Global developmental delay	7528
HP:0000007	Autosomal recessive inheritance	255101
HP:0003621	Juvenile onset	7827
HP:0000006	Autosomal dominant inheritance	3178
HP:0003621	Juvenile onset	1181
HP:0001250	Seizure	80144
HP:0001522	Death in infancy	23426
HP:0001522	Death in infancy	80144
HP:0001522	Death in infancy	341640
HP:0000007	Autosomal recessive inheritance	10282
HP:0001250	Seizure	6263
HP:0000007	Autosomal recessive inheritance	6833
HP:0001508	Failure to thrive	2645
HP:0001508	Failure to thrive	3630
HP:0001508	Failure to thrive	3651
HP:0001508	Failure to thrive	3767
HP:0001508	Failure to thrive	6774
HP:0001508	Failure to thrive	6833
HP:0003621	Juvenile onset	4322
HP:0002240	Hepatomegaly	10166
HP:0003593	Infantile onset	3735
HP:0000007	Autosomal recessive inheritance	80173
HP:0000007	Autosomal recessive inheritance	9333
HP:0000006	Autosomal dominant inheritance	3868
HP:0001508	Failure to thrive	3853
HP:0001508	Failure to thrive	3854
HP:0001508	Failure to thrive	3868
HP:0001508	Failure to thrive	3872
HP:0006532	Recurrent pneumonia	83844
HP:0003621	Juvenile onset	440275
HP:0000007	Autosomal recessive inheritance	84733
HP:0001250	Seizure	80331
HP:0001250	Seizure	1200
HP:0001250	Seizure	1203
HP:0001250	Seizure	1509
HP:0001250	Seizure	2896
HP:0001250	Seizure	5538
HP:0001250	Seizure	8722
HP:0001250	Seizure	54982
HP:0000006	Autosomal dominant inheritance	8996
HP:0000007	Autosomal recessive inheritance	79583
HP:0000006	Autosomal dominant inheritance	4624
HP:0003593	Infantile onset	58
HP:0002014	Diarrhea	6476
HP:0000006	Autosomal dominant inheritance	392255
HP:0001250	Seizure	10295
HP:0001250	Seizure	24140
HP:0003621	Juvenile onset	203286
HP:0003593	Infantile onset	55630
HP:0000083	Renal insufficiency	10463
HP:0002240	Hepatomegaly	19
HP:0001419	X-linked recessive inheritance	2334
HP:0001263	Global developmental delay	4125
HP:0001250	Seizure	55005
HP:0003621	Juvenile onset	5311
HP:0000083	Renal insufficiency	5310
HP:0000083	Renal insufficiency	23193
HP:0000083	Renal insufficiency	29880
HP:0000083	Renal insufficiency	51726
HP:0000083	Renal insufficiency	79796
HP:0000083	Renal insufficiency	80114
HP:0100702	Arachnoid cyst	5311
HP:0100702	Arachnoid cyst	9742
HP:0003593	Infantile onset	142680
HP:0000006	Autosomal dominant inheritance	4607
HP:0001263	Global developmental delay	2245
HP:0001250	Seizure	6905
HP:0001263	Global developmental delay	6091
HP:0002240	Hepatomegaly	6584
HP:0001250	Seizure	540
HP:0000006	Autosomal dominant inheritance	3767
HP:0000006	Autosomal dominant inheritance	8626
HP:0001250	Seizure	29081
HP:0002384	Focal impaired awareness seizure	6326
HP:0002384	Focal impaired awareness seizure	3785
HP:0002384	Focal impaired awareness seizure	3786
HP:0002384	Focal impaired awareness seizure	6334
HP:0002384	Focal impaired awareness seizure	112476
HP:0000007	Autosomal recessive inheritance	51776
HP:0011463	Childhood onset	2629
HP:0001250	Seizure	83700
HP:0001250	Seizure	84947
HP:0000006	Autosomal dominant inheritance	1687
HP:0001250	Seizure	84894
HP:0001824	Weight loss	2531
HP:0001824	Weight loss	2697
HP:0001824	Weight loss	2707
HP:0001824	Weight loss	127534
HP:0011463	Childhood onset	4487
HP:0003621	Juvenile onset	56945
HP:0002202	Pleural effusion	6016
HP:0000006	Autosomal dominant inheritance	3239
HP:0003621	Juvenile onset	55145
HP:0003621	Juvenile onset	6342
HP:0001263	Global developmental delay	1630
HP:0001250	Seizure	64221
HP:0001250	Seizure	339983
HP:0001250	Seizure	57178
HP:0000083	Renal insufficiency	4853
HP:0000006	Autosomal dominant inheritance	5309
HP:0001263	Global developmental delay	130589
HP:0000007	Autosomal recessive inheritance	58472
HP:0025435	Increased circulating lactate dehydrogenase concentration	2729
HP:0000006	Autosomal dominant inheritance	130340
HP:0000007	Autosomal recessive inheritance	5745
HP:0001263	Global developmental delay	1106
HP:0000729	Autistic behavior	773
HP:0000729	Autistic behavior	1759
HP:0000729	Autistic behavior	2562
HP:0000729	Autistic behavior	5602
HP:0000729	Autistic behavior	6323
HP:0000729	Autistic behavior	23316
HP:0000729	Autistic behavior	1173
HP:0000729	Autistic behavior	6513
HP:0000729	Autistic behavior	6529
HP:0000729	Autistic behavior	8831
HP:0000729	Autistic behavior	340533
HP:0000007	Autosomal recessive inheritance	253827
HP:0000007	Autosomal recessive inheritance	388552
HP:0001263	Global developmental delay	3481
HP:0000006	Autosomal dominant inheritance	128866
HP:0000006	Autosomal dominant inheritance	23022
HP:0000100	Nephrotic syndrome	25959
HP:0001250	Seizure	35
HP:0000007	Autosomal recessive inheritance	7476
HP:0000007	Autosomal recessive inheritance	285590
HP:0001250	Seizure	80055
HP:0001508	Failure to thrive	11005
HP:0000007	Autosomal recessive inheritance	285600
HP:0000007	Autosomal recessive inheritance	79005
HP:0011463	Childhood onset	212
HP:0000969	Edema	2235
HP:0000007	Autosomal recessive inheritance	3918
HP:0000006	Autosomal dominant inheritance	3039
HP:0001263	Global developmental delay	1528
HP:0001263	Global developmental delay	1727
HP:0001250	Seizure	118924
HP:0000007	Autosomal recessive inheritance	124997
HP:0000007	Autosomal recessive inheritance	3827
HP:0003496	Increased circulating IgM level	5238
HP:0000006	Autosomal dominant inheritance	54949
HP:0001824	Weight loss	1743
HP:0001824	Weight loss	2271
HP:0001824	Weight loss	4149
HP:0001824	Weight loss	4191
HP:0001824	Weight loss	4763
HP:0001824	Weight loss	5979
HP:0001824	Weight loss	6389
HP:0001824	Weight loss	6390
HP:0001824	Weight loss	6391
HP:0001824	Weight loss	6392
